NEWCASTLE UNITED,SWANSEA CITY,25 April 2015,34,46884,2 - 3,W,L,L,L,L,L,L,L,L,L,T. Krul,F. Coloccini,R. Taylor,M. Williamson,D. Janmaat,J. Gutiérrez,V. Anita,J. Colback,R. Cabella,E. Rivière,Ayoze Pérez,J. Carver,Ł. Fabiański,A. Williams,Àngel Rangel,F. Fernández,Jordi Amat,N. Dyer,J. Cork,J. Shelvey,G. Sigurðsson,J. Montero,Nélson Oliveira,G. Monk
CRYSTAL PALACE,HULL CITY,25 April 2015,34,23876,0 - 2,W,W,W,D,W,D,L,D,L,W,J. Speroni,D. Delaney,S. Dann,M. Kelly,P. Souaré,M. Jedinak,J. Puncheon,J. McArthur,G. Murray,Y. Bolasie,W. Zaha,A. Pardew,S. Harper,M. Dawson,P. McShane,J. Chester,S. Quinn,T. Huddlestone,S. Aluko,Ahmed El Mohamady,J. Livermore,R. Brady,D. N'Doye,S. Bruce
BURNLEY,LEICESTER CITY,25 April 2015,34,19582,0 - 1,L,L,D,D,L,L,W,L,L,D,T. Heaton,J. Shackell,M. Duff,K. Trippier,B. Mee,M. Taylor,D. Jones,S. Arfield,G. Boyd,L. Jutkiewicz,D. Ings,S. Dyche,K. Schmeichel,R. Huth,P. Konchesky,M. Wasilewski,W. Morgan,E. Cambiasso,A. King,M. Albrighton,D. Drinkwater,L. Ulloa,J. Vardy,N. Pearson
MANCHESTER CITY,ASTON VILLA,25 April 2015,34,45036,3 - 2,W,W,D,W,W,L,D,W,L,D,J. Hart,M. Demichelis,P. Zabaleta,A. Kolarov,E. Mangala,F. Lampard,David Silva,Y. Touré,Jesús Navas,Fernando,S. Agüero,M. Pellegrini,B. Guzan,R. Vlaar,K. Richardson,J. Okore,C. Sánchez,F. Delph,A. Westwood,T. Cleverley,L. Bacuna,J. Grealish,C. Benteke,T. Sherwood
EVERTON,MANCHESTER UNITED,26 April 2015,34,39497,3 - 0,L,D,W,W,D,L,W,D,L,W,T. Howard,P. Jagielka,L. Baines,S. Coleman,J. Stones,A. Lennon,G. Barry,L. Osman,J. McCarthy,R. Barkley,R. Lukaku,Roberto Martínez,David de Gea,A. Valencia,A. Young,D. Blind,C. Smalling,L. Shaw,M. Fellaini,Mata,Ander Herrera,P. McNair,W. Rooney,L. van Gaal
ARSENAL,CHELSEA,26 April 2015,34,60066,0 - 0,W,L,W,L,L,W,L,D,W,W,D. Ospina,P. Mertesacker,Nacho Monreal,L. Koscielny,Bellerín,M. Özil,Santi Cazorla,F. Coquelin,A. Ramsey,A. Sánchez,O. Giroud,A. Wenger,T. Courtois,J. Terry,G. Cahill,B. Ivanović,Azpilicueta,Fàbregas,Ramires,N. Matić,Oscar,Willian,E. Hazard,José Mourinho
HULL CITY,LIVERPOOL,29 April 2015,33,24843,1 - 0,D,L,D,L,W,L,W,L,L,D,S. Harper,M. Dawson,P. McShane,J. Chester,S. Quinn,T. Huddlestone,S. Aluko,Ahmed El Mohamady,J. Livermore,R. Brady,D. N'Doye,S. Bruce,S. Mignolet,G. Johnson,M. Škrtel,D. Lovren,J. Allen,J. Henderson,Philippe Coutinho,E. Can,J. Ibe,M. Balotelli,R. Sterling,B. Rodgers
LEICESTER CITY,CHELSEA,30 April 2015,27,32021,1 - 3,L,W,L,L,D,W,L,D,W,W,K. Schmeichel,R. Huth,P. Konchesky,M. Wasilewski,W. Morgan,E. Cambiasso,A. King,M. Albrighton,D. Drinkwater,L. Ulloa,J. Vardy,N. Pearson,P. Čech,J. Terry,G. Cahill,B. Ivanović,Azpilicueta,Fàbregas,Ramires,N. Matić,D. Drogba,Willian,E. Hazard,José Mourinho
LEICESTER CITY,NEWCASTLE UNITED,2 May 2015,35,31576,3 - 0,L,W,L,L,D,W,L,L,L,L,K. Schmeichel,R. Huth,M. Wasilewski,W. Morgan,J. Schlupp,E. Cambiasso,M. James,M. Albrighton,R. Mahrez,L. Ulloa,J. Vardy,N. Pearson,T. Krul,F. Coloccini,R. Taylor,M. Williamson,D. Janmaat,P. Dummett,J. Gutiérrez,M. Sissoko,J. Colback,E. Rivière,Ayoze Pérez,J. Carver
STOKE CITY,SOUTHAMPTON,18 April 2015,33,26467,2 - 1,W,L,D,D,D,L,W,D,W,L,A. Begović,E. Pieters,R. Shawcross,G. Cameron,P. Wollscheid,S. Ireland,G. Whelan,S. N'Zonzi,J. Walters,M. Arnautović,M. Diouf,M. Hughes,K. Davis,M. Yoshida,José Fonte,R. Bertrand,N. Clyne,T. Alderweireld,S. Davis,M. Schneiderlin,D. Tadić,G. Pellè,S. Mané,R. Koeman
LEICESTER CITY,SWANSEA CITY,18 April 2015,33,31121,2 - 0,L,W,L,L,D,L,L,L,L,L,K. Schmeichel,R. Huth,M. Wasilewski,W. Morgan,J. Schlupp,E. Cambiasso,A. King,M. Albrighton,L. Ulloa,A. Kramarić,J. Vardy,N. Pearson,Ł. Fabiański,A. Williams,Àngel Rangel,F. Fernández,Jordi Amat,W. Routledge,J. Cork,Ki Sung-Yeung,J. Shelvey,G. Sigurðsson,Nélson Oliveira,G. Monk
EVERTON,BURNLEY,18 April 2015,33,39496,1 - 0,L,D,W,W,D,L,L,D,D,L,T. Howard,P. Jagielka,L. Baines,S. Coleman,J. Stones,A. Lennon,G. Barry,J. McCarthy,R. Barkley,K. Mirallas,A. Koné,Roberto Martínez,T. Heaton,J. Shackell,M. Duff,K. Trippier,B. Mee,D. Jones,S. Arfield,G. Boyd,A. Barnes,S. Vokes,D. Ings,S. Dyche
